studentId,skill
JHL283810,Other
RZS258878,Artificial Intelligence
RZS258878,Machine Learning
RZS258878,Back-End
RZS258878,Virtual Reality
RZS258878,Full-Stack
RZS258878,Front-End
MBT282397,Machine Learning
MBT282397,Back-End
MBT282397,Virtual Reality
KWB260589,Artificial Intelligence
KWB260589,Front-End
KWB260589,Back-End
BXR284259,Machine Learning
BXR284259,Virtual Reality
BXR284259,Other
BXR284259,Database
BXR284259,Full-Stack
BXR284259,Back-End
BXR284259,Front-End
BXR284259,Artificial Intelligence
MIB289166,Back-End
MIB289166,Machine Learning
MIB289166,Database
MIB289166,Other
MIB289166,Virtual Reality
SDI270697,Database
SDI270697,Front-End
SDI270697,Back-End
SDI270697,Machine Learning
FVM270686,Mobile Dev
FVM270686,Other
FVM270686,Front-End
FVM270686,Back-End
FVM270686,Artificial Intelligence
APK243309,Full-Stack
APK243309,Mobile Dev
APK243309,Back-End
APK243309,Database
APK243309,Artificial Intelligence
APK243309,Virtual Reality
APK243309,Front-End
APK243309,Other
EDS209880,Front-End
EDS209880,Back-End
EDS209880,Virtual Reality
EDS209880,Mobile Dev
EDS209880,Artificial Intelligence
EDS209880,Database
EDS209880,Machine Learning
EDS209880,Full-Stack
MSM275914,Other
MSM275914,Full-Stack
MSM275914,Front-End
MSM275914,Machine Learning
MSM275914,Virtual Reality
MSM275914,Back-End
MSM275914,Artificial Intelligence
MSM275914,Mobile Dev
NOZ234814,Front-End
DWO297310,Machine Learning
DWO297310,Mobile Dev
DWO297310,Full-Stack
AAE297154,Full-Stack
SVK223509,Machine Learning
SVK223509,Full-Stack
SVK223509,Virtual Reality
MYJ252227,Other
MYJ252227,Virtual Reality
MYJ252227,Artificial Intelligence
MYJ252227,Machine Learning
MYJ252227,Full-Stack
JIP279457,Front-End
JIP279457,Database
JIP279457,Full-Stack
JIP279457,Mobile Dev
JIP279457,Other
JIP279457,Virtual Reality
APS260946,Back-End
APS260946,Machine Learning
FEH235614,Virtual Reality
FEH235614,Full-Stack
FEH235614,Artificial Intelligence
CNW200772,Database
CNW200772,Mobile Dev
CNW200772,Back-End
CNW200772,Full-Stack
CNW200772,Other
CNW200772,Machine Learning
CNW200772,Front-End
CNW200772,Virtual Reality
AML242906,Machine Learning
AML242906,Back-End
AML242906,Database
AML242906,Front-End
AML242906,Other
AML242906,Artificial Intelligence
GJM221992,Front-End
GJM221992,Machine Learning
GJM221992,Mobile Dev
GJM221992,Artificial Intelligence
GJM221992,Database
GJM221992,Virtual Reality
GJM221992,Full-Stack
GJM221992,Other
GJM221992,Back-End
PST280728,Database
PST280728,Back-End
PST280728,Full-Stack
PST280728,Other
PST280728,Mobile Dev
KDG292124,Artificial Intelligence
KDG292124,Back-End
KDG292124,Other
RON213446,Front-End
RON213446,Machine Learning
RYV274531,Machine Learning
RYV274531,Back-End
RYV274531,Mobile Dev
JUK290096,Virtual Reality
JUK290096,Back-End
JUK290096,Machine Learning
SNB265597,Machine Learning
SNB265597,Front-End
SNB265597,Mobile Dev
SNB265597,Back-End
SNB265597,Other
GYC259614,Front-End
GYC259614,Mobile Dev
GYC259614,Database
GYC259614,Other
GYC259614,Back-End
GYC259614,Full-Stack
GYC259614,Virtual Reality
GYC259614,Machine Learning
HQT284896,Virtual Reality
HQT284896,Mobile Dev
HQT284896,Database
HQT284896,Back-End
AHT259682,Database
AHT259682,Virtual Reality
AHT259682,Front-End
AHT259682,Full-Stack
AHT259682,Other
AHT259682,Machine Learning
VYC243065,Front-End
VYC243065,Back-End
VYC243065,Mobile Dev
VYC243065,Artificial Intelligence
VYC243065,Full-Stack
VYC243065,Virtual Reality
VYC243065,Machine Learning
VYC243065,Other
SSD279887,Mobile Dev
SSD279887,Machine Learning
SSD279887,Database
JJB213979,Front-End
JJB213979,Virtual Reality
JJB213979,Full-Stack
JJB213979,Other
MLK223021,Machine Learning
MLK223021,Full-Stack
MLK223021,Mobile Dev
MLK223021,Database
MLK223021,Virtual Reality
MLK223021,Other
MLK223021,Front-End
MLK223021,Back-End
BLM248311,Mobile Dev
